,codpro,codfor,estoque,min_dt_estoque
319,015540,00612,1.0,2013-03-07
320,016605,00124,2.0,2013-03-07
321,016763,00612,9.0,2013-03-13
322,016811,00076,114.0,2013-03-07
323,016847,00332,4.0,2013-04-12
324,016851,00332,1.0,2013-03-07
325,015846,00527,1.0,2013-03-13
326,016893,00198,1.0,2015-09-24
327,016859,00332,1.0,2013-03-07
328,016869,00332,3.0,2013-03-23
329,016877,00332,1.0,2013-04-12
330,015884,00527,4.0,2013-03-07
331,017005,00332,2.0,2013-03-07
332,017017,00193,2.0,2013-03-07
333,017021,00193,1.0,2013-10-17
334,015990,00527,6.0,2013-03-21
335,017037,00527,1.0,2013-03-22
336,017049,00527,5.0,2013-10-18
337,016028,00527,2.0,2013-03-07
338,016034,00527,3.0,2013-03-11
339,017073,00002,4.0,2013-03-07
340,017075,00002,1.0,2013-03-07
341,017093,00515,3.0,2013-03-07
342,017163,00990,4.0,2014-04-17
343,016160,00198,6.0,2013-03-18
344,017279,00527,1.0,2013-03-07
345,017287,00527,2.0,2013-03-07
346,016246,00269,1.0,2013-03-07
347,016324,00244,1.0,2014-01-20
348,017387,00269,1.0,2013-03-14
349,017391,00269,2.0,2013-03-07
350,017407,00171,4.0,2013-03-07
351,017415,00171,2.0,2013-04-22
352,016378,00171,1.0,2021-01-19
353,017467,00527,6.0,2013-03-07
354,017473,00457,2.0,2013-03-14
355,016398,00527,1.0,2013-03-07
356,017489,00198,1.0,2014-07-23
357,016444,00198,8.0,2013-03-22
358,016452,00198,1.0,2013-03-07
359,017587,00198,5.0,2014-04-23
360,017589,00198,5.0,2013-03-07
361,017593,00198,7.0,2013-03-18
362,017669,00124,1.0,2013-05-20
363,017697,04469,2.0,2013-04-18
364,017761,00150,1.0,2013-03-07
365,017779,00198,3.0,2013-03-07
366,017781,00198,1.0,2013-03-07
367,017783,00198,9.0,2013-03-07
368,017785,00198,4.0,2013-03-07
369,017815,00002,1.0,2013-03-07
370,016560,00198,4.0,2013-03-07
371,016562,00198,6.0,2013-03-07
372,016576,00198,1.0,2013-06-03
373,016606,00124,2.0,2013-03-07
374,016614,00435,1.0,2013-03-07
375,017955,00616,1.0,2013-03-07
376,017959,00616,1.0,2013-03-07
377,017971,00285,2.0,2013-03-07
378,016696,00124,1.0,2013-07-29
379,016716,00269,2.0,2013-03-25
380,016754,00527,2.0,2013-05-31
381,016844,00332,3.0,2013-04-12
382,016848,00332,10.0,2013-03-07
383,018123,00520,1.0,2013-03-07
384,016870,00332,2.0,2013-03-23
385,016890,00198,25.0,2013-03-07
386,016908,00527,1.0,2013-04-26
387,016948,00616,1.0,2013-03-07
388,016982,00527,1.0,2013-07-01
389,018199,00198,1.0,2013-03-07
390,018203,00198,1.0,2013-03-07
391,017004,00332,1.0,2013-06-28
392,017010,00332,1.0,2013-04-03
393,018303,04469,2.0,2013-03-07
394,018323,05055,771.0,2013-03-07
395,017072,00002,1.0,2013-03-07
396,017076,00847,345.0,2013-03-26
397,018347,00353,3.0,2013-07-03
398,018363,00353,1.0,2013-03-07
399,017106,00515,1.0,2013-03-25
400,017134,00124,1.0,2013-03-18
401,017176,00990,1.0,2013-03-12
402,018471,00444,1.0,2013-03-07
403,018477,00444,2.0,2013-03-07
404,017280,00527,1.0,2013-03-07
405,017286,00527,1.0,2013-03-15
406,017406,00171,2.0,2013-03-11
407,017408,00171,4.0,2013-03-07
408,017414,00171,4.0,2013-03-07
409,017490,00198,1.0,2014-07-23
410,017494,00198,2.0,2013-03-07
411,017578,00147,4.0,2013-03-20
412,017586,00198,5.0,2013-05-24
413,017588,00198,2.0,2013-06-24
414,017662,01404,11.0,2013-07-22
415,017714,00573,2.0,2013-05-16
416,018551,00444,2.0,2013-04-22
417,017778,00198,2.0,2013-03-07
418,017780,00198,1.0,2013-03-07
419,017782,00198,13.0,2013-03-07
420,017784,00198,3.0,2013-03-07
421,017786,00198,4.0,2013-03-07
422,018557,00265,3.0,2013-03-07
423,017860,00990,3.0,2013-03-07
424,018641,00444,1.0,2013-05-09
425,017950,00616,3.0,2013-03-07
426,017954,00616,2.0,2013-03-07
427,017960,00616,3.0,2013-03-07
428,018727,00515,1.0,2013-03-07
429,018126,00265,1.0,2013-03-07
430,018198,00198,2.0,2013-03-07
431,018202,00198,2.0,2013-03-07
432,018923,00171,5.0,2013-03-07
