,codpro,codfor,estoque,min_dt_estoque
7494,082220,02530,1.0,2024-04-12
7495,082228,01652,2.0,2024-05-18
7496,082230,05138,1.0,2023-11-14
7497,087888,06332,6.0,2024-07-24
7498,087910,06331,2.0,2024-09-14
7499,082264,00261,3.0,2023-11-20
7500,082266,00261,4.0,2023-11-20
7501,082272,00124,1.0,2023-12-15
7502,087928,06332,4.0,2024-09-14
7503,082298,04469,2.0,2023-12-11
7504,082302,04469,5.0,2024-03-06
7505,082330,00468,16.0,2024-02-26
7506,082332,00353,17.0,2024-02-23
7507,082336,00468,6.0,2024-04-23
7508,082342,00468,4.0,2024-04-23
7509,082368,00254,3.0,2023-11-30
7510,088006,06332,1.0,2024-09-14
7511,082406,00353,1.0,2023-12-06
7512,088078,06332,3.0,2024-09-14
7514,088092,06332,3.0,2024-12-11
7515,088096,06332,4.0,2025-02-05
7516,088114,06332,6.0,2025-02-05
7517,082476,00417,8.0,2024-05-03
7518,088128,06332,2.0,2025-02-05
7519,088154,06331,2.0,2024-11-18
7520,082520,02530,3.0,2024-05-07
7521,088164,06331,4.0,2024-07-29
7522,088178,06331,4.0,2024-09-14
7523,088196,06331,1.0,2024-11-18
7524,088206,06331,4.0,2024-09-14
7525,088238,06331,6.0,2024-11-18
7526,088242,06331,2.0,2025-02-06
7527,088280,06331,2.0,2024-09-14
7528,082538,00419,2.0,2023-12-12
7529,082542,01148,3.0,2023-11-20
7530,082568,00261,6.0,2024-07-23
7531,082576,00573,173.0,2024-01-22
7532,082586,00463,2.0,2023-12-19
7533,082594,00515,1.0,2023-12-05
7534,082602,00481,1.0,2024-10-16
7535,082614,00338,1.0,2024-03-26
7536,082638,01148,5.0,2023-12-15
7537,088354,01148,3.0,2024-05-08
7538,082660,00493,3.0,2024-03-18
7539,088416,06332,4.0,2024-08-22
7540,082720,05177,4.0,2023-12-04
7541,082722,05177,3.0,2023-12-04
7542,082724,05177,4.0,2023-12-04
7543,082726,05177,4.0,2023-12-04
7544,082728,05177,3.0,2023-12-04
7545,082732,05177,1.0,2023-12-04
7546,082734,00990,7.0,2024-03-21
7547,082744,02530,6.0,2024-09-09
