Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
015011;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015189;;Autocentro;Grande;;;;;;;;;;;;;;;
015192;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015413;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015477;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015482;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015503;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015580;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015631;;Varejo;Pequeno;;;;;;;;;;;;;;;
015676;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015701;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015833;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015855;;Autocentro;Grande;;;;;;;;;;;;;;;
015868;;Autocentro;Pequeno;;;;;;;;;;;;;;;
015891;;Não qualificado;;;;;;;;;;;;;;;;
015975;;Não qualificado;;;;;;;;;;;;;;;;
016045;;Autocentro;Pequeno;;;;;;;;;;;;;;;
016105;;Autocentro;Pequeno;;;;;;;;;;;;;;;
018075;;Varejo;Pequeno;;;;;;;;;;;;;;;
018144;;Autocentro;Pequeno;;;;;;;;;;;;;;;
018152;;Não qualificado;;;;;;;;;;;;;;;;
018545;;Autocentro;Pequeno;;;;;;;;;;;;;;;
018653;;Autocentro;Grande;;;;;;;;;;;;;;;
018936;;Não qualificado;;;;;;;;;;;;;;;;
019246;;Autocentro;Pequeno;;;;;;;;;;;;;;;
019643;;Autocentro;Grande;;;;;;;;;;;;;;;
019876;;Varejo;Grande;;;;;;;;;;;;;;;
020164;;Não qualificado;;;;;;;;;;;;;;;;
020248;;Autocentro;Pequeno;;;;;;;;;;;;;;;
020253;;Varejo;Grande;;;;;;;;;;;;;;;
020284;;Autocentro;Pequeno;;;;;;;;;;;;;;;
